budget_allocated,budget_spent,workforce_count,equipment_count,material_cost,completion_percentage,weather_delay_days,safety_incidents,inspection_score,task_completion_rate,daily_progress_rate,resource_availability,workforce_attendance,supply_delay_days,rainfall_mm,project_type,state,duration_days,delayed,budget_overrun_pct,risk_level,actual_completion_days
1165118945.05,404882963.78,343,11,345805387.55,34.26,4,0,90.95,0.3095,2.0139,0.64,0.6876,3,0.31,PowerPlant,Kano,548,0,5.68,medium,580
931749734.52,117837817.12,415,33,358863201.16,10.98,0,2,47.68,0.6781,2.2955,0.553,0.7391,6,0.97,Bridge,Enugu,418,0,7.79,medium,437
1313686821.57,1261473594.25,454,33,559663887.55,68.98,1,0,73.16,0.7875,1.7353,0.4574,0.6433,2,32.3,Dam,Delta,541,1,25.98,high,562
808707171.42,441113164.93,339,17,338341267.87,46.82,4,0,75.92,0.6471,1.3351,0.6339,0.8133,4,113.39,PowerPlant,Enugu,632,1,12.95,high,660
233936424.49,164774293.19,410,35,102936969.14,59.67,3,2,75.09,0.1421,1.6516,0.6651,0.6336,5,12.39,Pipeline,Enugu,611,1,24.64,high,668
195976145.76,204257746.55,283,29,57700488.17,89.24,0,0,71.23,0.5953,1.6759,0.69,0.7111,6,2.69,Road,Lagos,241,0,7.2,medium,256
566557780.18,621430679.16,23,23,180136328.13,100.0,4,1,59.25,0.8655,1.7789,0.6701,0.8356,4,140.91,Pipeline,Rivers,726,0,9.69,high,731
815240471.38,198336860.95,427,37,360833172.4,23.27,0,1,74.72,0.7522,2.0779,0.7445,0.6583,2,1.11,Bridge,Rivers,943,0,0.04,low,967
464800880.03,326809139.99,242,39,184071674.32,64.18,2,0,70.31,0.6789,2.0977,0.7184,0.7991,5,51.71,Road,Rivers,1075,0,7.22,medium,1065
168594561.92,64914388.18,222,17,62111490.96,35.71,1,0,58.23,0.3407,2.5117,0.783,0.9579,3,14.66,Pipeline,Oyo,285,0,3.85,medium,275
350376714.77,252019792.46,66,31,91372179.44,69.03,2,0,99.78,0.4912,0.0,0.595,0.7465,0,40.52,Railway,Rivers,633,0,3.23,medium,656
589168112.16,91401705.28,481,18,224880417.01,14.16,0,0,62.74,0.4885,2.729,1.0,0.8832,5,7.61,Dam,FCT,565,0,9.82,medium,561
450013900.87,402921986.55,337,4,163077740.42,68.54,4,0,72.7,0.6404,3.2784,0.6917,0.7861,3,97.07,Railway,Oyo,478,1,15.36,high,550
42219861.84,0.0,115,21,15436383.09,0.0,1,0,58.5,0.9221,2.4255,0.7828,0.7721,4,12.08,Building,FCT,673,0,5.86,medium,710
